Name;Stufennormal;T1;T2;T3;Abteilung
39988-1 KOBA 62149-2-11-14162;39988-1 KOBA 62149-2-11-14162;29,94;300,06;900,06;Service
50868 KOBA 5090 PTB 07;50868 KOBA 5090 PTB 07;29,998;299,964;899,858;Fertigung
53469 KOBA 5490 PTB 08;53469 KOBA 5490 PTB 08;30,002;299,943;900,082;Service
58204 KOBA 62149-1-11-14162;58204 KOBA 62149-1-11-14162;29,96;299,98;899,98;Service
64426 KOBA 50509 PTB 12;64426 KOBA 50509 PTB 12;29,993;299,939;900,112;Applikation
67422 KOBA 50512 PTB 13;67422 KOBA 50512 PTB 13;29,999;300,02;900,113;Service
67570-1 KOBA 50513 PTB 13;67570-1 KOBA 50513 PTB 13;30,0683;300,646;900,827;Applikation
67570-2 KOBA 50514 PTB 13;67570-2 KOBA 50514 PTB 13;29,955;300,061;900,045;Applikation
86761 KOBA 4093 PTB 01;86761 KOBA 4093 PTB 01;29,963;300,325;900,326;Applikation
86762 KOBA 4094 PTB 01;86762 KOBA 4094 PTB 01;30,083;300,435;900,516;Applikation
87006 KOBA 4068 PTB 02;87006 KOBA 4068 PTB 02;29,903;299,976;899,809;Service